Index: 175; Response Time:12.04161
Index: 188; Response Time:12.54117
Index: 9; Response Time:5.694733
Index: 87; Response Time:17.241
Index: 54; Response Time:8.209412
Index: 165; Response Time:8.960258
Index: 2; Response Time:9.609177
Index: 36; Response Time:7.555557
Index: 11; Response Time:6.957428
Index: 81; Response Time:10.87457
Index: 186; Response Time:4.375366
Index: 4; Response Time:6.040863
Index: 195; Response Time:10.27017
Index: 53; Response Time:8.707413
Index: 70; Response Time:9.0914
Index: 194; Response Time:7.415588
Index: 96; Response Time:6.360138
Index: 192; Response Time:5.484497
Index: 79; Response Time:10.72119
Index: 56; Response Time:9.347046
Index: 104; Response Time:7.873482
Index: 1; Response Time:9.872513
Index: 107; Response Time:8.33255
Index: 168; Response Time:7.944138
Index: 182; Response Time:5.722351
Index: 176; Response Time:6.902771
Index: 189; Response Time:5.388702
Index: 113; Response Time:7.888367
Index: 38; Response Time:8.180664
Index: 169; Response Time:4.638885
Index: 89; Response Time:9.427319
Index: 35; Response Time:5.000763
Index: 22; Response Time:9.319611
Index: 77; Response Time:11.60797
Index: 23; Response Time:8.583221
Index: 166; Response Time:6.930695
Index: 197; Response Time:3.17923
Index: 92; Response Time:5.263702
Index: 185; Response Time:4.263489
Index: 173; Response Time:3.804693
Index: 164; Response Time:3.194336
Index: 163; Response Time:11.58186
Index: 191; Response Time:4.110413
Index: 187; Response Time:12.95782
Index: 116; Response Time:9.805145
Index: 162; Response Time:10.04166
