Index: 71; Response Time:12.06973
Index: 190; Response Time:12.26291
Index: 180; Response Time:14.29129
Index: 92; Response Time:10.83319
Index: 85; Response Time:19.37439
Index: 2; Response Time:10.63776
Index: 60; Response Time:13.61075
Index: 59; Response Time:15.41515
Index: 168; Response Time:12.19394
Index: 111; Response Time:6.055542
Index: 7; Response Time:14.06949
Index: 105; Response Time:10.69504
Index: 65; Response Time:11.73574
Index: 163; Response Time:7.555084
Index: 186; Response Time:16.74992
Index: 171; Response Time:13.41595
Index: 75; Response Time:8.777023
Index: 1; Response Time:17.22212
Index: 151; Response Time:16.24921
Index: 150; Response Time:11.79119
Index: 193; Response Time:11.58287
Index: 98; Response Time:7.667389
Index: 179; Response Time:9.638458
Index: 165; Response Time:11.33298
Index: 56; Response Time:16.5146
Index: 32; Response Time:7.540966
Index: 102; Response Time:4.721771
Index: 33; Response Time:10.74956
Index: 70; Response Time:9.888748
Index: 48; Response Time:6.305542
Index: 97; Response Time:6.000031
Index: 135; Response Time:4.416565
Index: 133; Response Time:9.041473
Index: 167; Response Time:4.512985
Index: 95; Response Time:5.582916
Index: 172; Response Time:5.679932
Index: 31; Response Time:6.20842
Index: 143; Response Time:10.05463
Index: 185; Response Time:6.041046
Index: 130; Response Time:4.124268
Index: 192; Response Time:6.000336
Index: 35; Response Time:5.194458
